token_address,blockchain,symbol,decimals
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,ethereum,ETH,18
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,arbitrum,ETH,18
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,optimism,ETH,18
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,base,ETH,18
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,avalanche,AVAX,18
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,polygon,POL,18
0x4200000000000000000000000000000000000006,optimism,WETH,18
0x18084fba666a33d37592fa2633fd49a74dd93a88,ethereum,tBTC,18
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,arbitrum,WETH,18
0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,arbitrum,WBTC,8
0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,avalanche,WAVAX,18
0x29e38769f23701a2e4a8ef0492e19da4604be62c,avalanche,S*USDt,6
0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,arbitrum,USDC,6
0x152b9d0fdc40c096757f570a51e494bd4b943e50,avalanche,btc.b,8
0x2edf094db69d6dcd487f1b3db9febe2eec0dd4c5,ethereum,ZEE,18
0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,avalanche,USDT,6
0x232ce3bd40fcd6f80f3d55a522d03f25df784ee2,ethereum,LIT,18
0xae78736cd615f374d3085123a210448e74fc6393,ethereum,rETH,18
0x6c3ea9036406852006290770bedfcaba0e23a0e8,ethereum,PYUSD,6
0x699ccf919c1dfdfa4c374292f42cadc9899bf753,ethereum,VSN,18
0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,optimism,USDT,6
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ethereum,USDC,6
0x57723abc582dbfe11ea01f1a1f48aee20bd65d73,arbitrum,UNKNOWN,18
0xa45b5130f36cdca45667738e2a258ab09f4a5f7f,arbitrum,ETH,18
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,WETH,18
0x77b2043768d28e9c9ab44e1abfc95944bce57931,ethereum,ETH,18
0x0b2c639c533813f4aa9d7837caf62653d097ff85,optimism,USDC,6
0xbeefb9f61cc44895d8aec381373555a64191a9c4,ethereum,vbshUSDC,18
0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,arbitrum,USDT0,6
0x6c84a8f1c29108f47a79964b5fe888d4f4d0de40,optimism,tbtc,18
0xec0a755664271b87002dda33ca2484b24af68912,optimism,UNKNOWN,18
0x6b175474e89094c44da98b954eedeac495271d0f,ethereum,DAI,18
0x514910771af9ca656af840dff83e8264ecf986ca,ethereum,LINK,18
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,ethereum,wstETH,18
0x6fbbbd8bfb1cd3986b1d05e7861a0f62f87db74b,arbitrum,VSN,18
0xd22363e3762ca7339569f3d33eade20127d5f98c,optimism,S*SGETH,18
0x5979d7b546e38e414f7e9822514be443a4800529,arbitrum,wstETH,18
0xaf88d065e77c8cc2239327c5edb3a432268e5831,arbitrum,USDC,6
0x88a269df8fe7f53e590c561954c52fccc8ec0cfb,arbitrum,NST,18
0xe8cdf27acd73a434d661c84887215f7598e7d0d3,optimism,ETH,18
0xb6cfcf89a7b22988bfc96632ac2a9d6dab60d641,arbitrum,S*USDT,6
0x85f138bfee4ef8e540890cfb48f620571d67eda3,ethereum,WAVAX,18
0xc7198437980c041c805a1edcba50c1ce5db95118,avalanche,USDT.e,6
0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,avalanche,WETH,18
0x7f5c764cbc14f9669b88837ca1490cca17c31607,optimism,USDC,6
0x912ce59144191c1204e64559fe8253a0e49e6548,arbitrum,ARB,18
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ethereum,WBTC,8
0x70bef3bb2f001da2fddb207dae696cd9faff3f5d,ethereum,NST,18
0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,avalanche,AvalancheUSDC,6
0xdac17f958d2ee523a2206206994597c13d831ec7,ethereum,USDT,6
0xcd94a87696fac69edae3a70fe5725307ae1c43f6,avalanche,BLACK,18
0x915a55e36a01285a14f05de6e81ed9ce89772f8e,arbitrum,S*SGETH,18
0x01bff41798a0bcf287b996046ca68b395dbc1071,optimism,USDT0,6
0x664e9d73db2a3514f6b437137de4779977a06e81,ethereum,UNKNOWN,18
0x6c84a8f1c29108f47a79964b5fe888d4f4d0de40,arbitrum,tbtc,18
0x68749665ff8d2d112fa859aa293f07a622782f38,ethereum,xaut,6
0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,ethereum,EURC,6
0x4c1746a800d224393fe2470c70a35717ed4ea5f1,ethereum,PLUME,18
0x45804880de22913dafe09f4980848ece6ecbaf78,ethereum,PAXG,18
0x39b8b6385416f4ca36a20319f70d28621895279d,ethereum,EURe,18
